p_val	avg_logFC	pct.1	pct.2	p_val_adj	sample_id	cell_type	gene_symbol
MMY21940.CD14+Mono.NT5C2	3.16575628993197e-17	-0.412995348075145	0.04	0.221	1.06173134451739e-12	MMY21940	CD14+Mono	NT5C2
MMY21940.CD14+Mono.JARID2	3.17381797800432e-17	-0.583473370371315	0.125	0.397	1.06443507346309e-12	MMY21940	CD14+Mono	JARID2
MMY21940.CD14+Mono.ARID1B	3.17812795135809e-17	-1.63475504646063	0.195	0.504	1.06588055232648e-12	MMY21940	CD14+Mono	ARID1B
MMY21940.CD14+Mono.TMEM154	3.23302107814204e-17	-0.928270667314768	0.063	0.275	1.08429060918728e-12	MMY21940	CD14+Mono	TMEM154
MMY21940.CD14+Mono.LMAN1	3.61709978246204e-17	3.89232288093871	0.497	0.107	1.21310292504212e-12	MMY21940	CD14+Mono	LMAN1
MMY21940.CD14+Mono.LMNB1	3.68352034867399e-17	-0.577121114819221	0.02	0.16	1.23537905453828e-12	MMY21940	CD14+Mono	LMNB1
MMY21940.CD14+Mono.TTC7A	3.70816367408381e-17	-0.455882639229532	0.056	0.26	1.24364393301423e-12	MMY21940	CD14+Mono	TTC7A
MMY21940.CD14+Mono.CYLD	4.1463727809797e-17	-0.679302914766367	0.131	0.405	1.39061050328497e-12	MMY21940	CD14+Mono	CYLD
MMY21940.CD14+Mono.CAPN1	4.3498922179031e-17	-0.382922934275885	0.053	0.252	1.45886685204034e-12	MMY21940	CD14+Mono	CAPN1
MMY21940.CD14+Mono.EVI2A	4.49384325325906e-17	-1.24773311789717	0.206	0.511	1.50714515027802e-12	MMY21940	CD14+Mono	EVI2A
MMY21940.CD14+Mono.UNC93B1	4.773784810337e-17	-1.04050367234235	0.125	0.397	1.60103194969082e-12	MMY21940	CD14+Mono	UNC93B1
MMY21940.CD14+Mono.FLII	4.86083500752713e-17	-0.496843831356513	0.074	0.298	1.63022684482445e-12	MMY21940	CD14+Mono	FLII
MMY21940.CD14+Mono.ABR	4.92859169731077e-17	-0.295123688165222	0.023	0.168	1.65295108344409e-12	MMY21940	CD14+Mono	ABR
MMY21940.CD14+Mono.SPIDR	5.30853965113063e-17	-0.531325897333488	0.033	0.198	1.78037802819619e-12	MMY21940	CD14+Mono	SPIDR
MMY21940.CD14+Mono.NUDT3	5.34296000941345e-17	-0.579682647029711	0.081	0.313	1.79192192795708e-12	MMY21940	CD14+Mono	NUDT3
MMY21940.CD14+Mono.CBX6	5.9287476777899e-17	-0.566207405309588	0.101	0.351	1.98838339617718e-12	MMY21940	CD14+Mono	CBX6
MMY21940.CD14+Mono.RASSF5	6.08022402899523e-17	-0.933250939857002	0.075	0.298	2.03918553484442e-12	MMY21940	CD14+Mono	RASSF5
MMY21940.CD14+Mono.PLEKHF2	7.41172954593455e-17	-0.289132243579658	0.025	0.176	2.48574585511553e-12	MMY21940	CD14+Mono	PLEKHF2
MMY21940.CD14+Mono.ADSS	8.18941557855536e-17	-0.456974318936052	0.085	0.321	2.7465661967359e-12	MMY21940	CD14+Mono	ADSS
MMY21940.CD14+Mono.ODF3B	8.42173946638136e-17	-0.929231593089538	0.078	0.305	2.82448298223498e-12	MMY21940	CD14+Mono	ODF3B
MMY21940.CD14+Mono.HCLS1	9.57344986104803e-17	-2.99024436251781	0.296	0.611	3.21074361439829e-12	MMY21940	CD14+Mono	HCLS1
MMY21940.CD14+Mono.PRPF40A	1.03792861586975e-16	-0.68070547834357	0.169	0.458	3.48100499190397e-12	MMY21940	CD14+Mono	PRPF40A
MMY21940.CD14+Mono.CYBA	1.0680173115578e-16	5.96499361484359	0.846	0.992	3.58191645950253e-12	MMY21940	CD14+Mono	CYBA
MMY21940.CD14+Mono.ZFAS1	1.09297470259104e-16	-2.4677193601132	0.218	0.504	3.66561855754983e-12	MMY21940	CD14+Mono	ZFAS1
MMY21940.CD14+Mono.CHSY1	1.41227871615995e-16	-0.552893463587163	0.031	0.191	4.73650035825724e-12	MMY21940	CD14+Mono	CHSY1
MMY21940.CD14+Mono.ARRDC1	1.48975269551867e-16	-0.405910747932853	0.068	0.282	4.99633259023052e-12	MMY21940	CD14+Mono	ARRDC1
MMY21940.CD14+Mono.TOM1	1.50636372480818e-16	-0.327448602836778	0.034	0.198	5.05204266026168e-12	MMY21940	CD14+Mono	TOM1
MMY21940.CD14+Mono.UBAC2	1.52493220233831e-16	-0.311468010567192	0.023	0.168	5.11431762020221e-12	MMY21940	CD14+Mono	UBAC2
MMY21940.CD14+Mono.PECAM1	1.53828490841999e-16	-2.59472946963833	0.261	0.588	5.15909992585896e-12	MMY21940	CD14+Mono	PECAM1
MMY21940.CD14+Mono.SPPL2A	1.69984643127487e-16	-0.538567341464063	0.087	0.321	5.70094496120965e-12	MMY21940	CD14+Mono	SPPL2A
MMY21940.CD14+Mono.RPL10	1.82814900162561e-16	124.957155454448	0.997	1	6.13124612165196e-12	MMY21940	CD14+Mono	RPL10
MMY21940.CD14+Mono.LAMP2	2.23449856661119e-16	-0.878126035546987	0.176	0.466	7.49406129270062e-12	MMY21940	CD14+Mono	LAMP2
MMY21940.CD14+Mono.RACK1	2.28856173843192e-16	-4.55199886592261	0.835	0.985	7.67537835835298e-12	MMY21940	CD14+Mono	RACK1
MMY21940.CD14+Mono.BZW1	2.32375097371658e-16	-1.38883414160904	0.249	0.58	7.79339601565066e-12	MMY21940	CD14+Mono	BZW1
MMY21940.CD14+Mono.CISD2	2.33313929419085e-16	3.13021363990317	0.488	0.107	7.82488256485728e-12	MMY21940	CD14+Mono	CISD2
MMY21940.CD14+Mono.SDC1	2.44327660059248e-16	1.27412513132828	0.36	0	8.19426106306705e-12	MMY21940	CD14+Mono	SDC1
MMY21940.CD14+Mono.PANK3	2.70912729616906e-16	-0.37135580436148	0.045	0.229	9.08587112589179e-12	MMY21940	CD14+Mono	PANK3
MMY21940.CD14+Mono.PHC2	2.72975977411495e-16	-0.327046250806616	0.049	0.237	9.15506833042673e-12	MMY21940	CD14+Mono	PHC2
MMY21940.CD14+Mono.ADAM17	3.18844230165639e-16	-0.656530071116425	0.118	0.374	1.06933977912952e-11	MMY21940	CD14+Mono	ADAM17
MMY21940.CD14+Mono.DCAF7	3.19924204204338e-16	-0.466174273970156	0.091	0.328	1.07296179606051e-11	MMY21940	CD14+Mono	DCAF7
MMY21940.CD14+Mono.SNX6	3.37344556498405e-16	-0.815186157092989	0.11	0.359	1.13138617358435e-11	MMY21940	CD14+Mono	SNX6
MMY21940.CD14+Mono.MAPK6	3.43058899812888e-16	-0.326102622573495	0.034	0.198	1.15055093819246e-11	MMY21940	CD14+Mono	MAPK6
MMY21940.CD14+Mono.MYLIP	3.74197992051581e-16	-0.317583071388027	0.024	0.168	1.25498522574259e-11	MMY21940	CD14+Mono	MYLIP
MMY21940.CD14+Mono.DGAT1	3.9399484493062e-16	-0.361403617151756	0.055	0.252	1.32137991092831e-11	MMY21940	CD14+Mono	DGAT1
MMY21940.CD14+Mono.JUNB	4.1594686395217e-16	7.01412001169717	0.438	0.802	1.39500259232279e-11	MMY21940	CD14+Mono	JUNB
MMY21940.CD14+Mono.SIPA1L1	4.1915238212121e-16	-0.330979114428926	0.024	0.168	1.40575325915811e-11	MMY21940	CD14+Mono	SIPA1L1
MMY21940.CD14+Mono.PLPP5	4.31906396466322e-16	1.88741879649544	0.427	0.053	1.44852767246875e-11	MMY21940	CD14+Mono	PLPP5
MMY21940.CD14+Mono.NAGK	4.33520202016321e-16	-0.824019094242306	0.165	0.45	1.45394005352234e-11	MMY21940	CD14+Mono	NAGK
MMY21940.CD14+Mono.AP2M1	4.47989546129853e-16	-0.941535364700335	0.184	0.473	1.5024673398103e-11	MMY21940	CD14+Mono	AP2M1
MMY21940.CD14+Mono.PPP1CA	4.4861294602279e-16	-1.20093370139566	0.287	0.603	1.50455809837123e-11	MMY21940	CD14+Mono	PPP1CA
MMY21940.CD14+Mono.PIM2	4.52649869798818e-16	4.45729308281689	0.393	0.031	1.51809713333128e-11	MMY21940	CD14+Mono	PIM2
MMY21940.CD14+Mono.AC007952.4	4.8852326720701e-16	1.61838528536655	0.277	0.611	1.63840933355887e-11	MMY21940	CD14+Mono	AC007952.4
MMY21940.CD14+Mono.SNX3	4.92950301377649e-16	-1.32970231346674	0.293	0.588	1.65325672076036e-11	MMY21940	CD14+Mono	SNX3
MMY21940.CD14+Mono.CCNL1	5.19750254013752e-16	5.7379331608466	0.381	0.756	1.74313840191132e-11	MMY21940	CD14+Mono	CCNL1
MMY21940.CD14+Mono.ATAD2B	5.51364561849105e-16	-0.293414619541732	0.04	0.214	1.84916646752953e-11	MMY21940	CD14+Mono	ATAD2B
MMY21940.CD14+Mono.RPS21	5.58387768739937e-16	71.7818288321463	0.992	0.969	1.8727208988e-11	MMY21940	CD14+Mono	RPS21
MMY21940.CD14+Mono.PRKCB	5.93183250107439e-16	-0.408961299769885	0.251	0.595	1.98941798421033e-11	MMY21940	CD14+Mono	PRKCB
MMY21940.CD14+Mono.CALM3	6.16694117273673e-16	-1.06426623289341	0.171	0.458	2.06826873051245e-11	MMY21940	CD14+Mono	CALM3
MMY21940.CD14+Mono.PHIP	7.15014191072029e-16	-1.5981326034319	0.123	0.382	2.39801459401737e-11	MMY21940	CD14+Mono	PHIP
MMY21940.CD14+Mono.CDC40	7.1930702888979e-16	-0.497682765286316	0.119	0.374	2.41241191349058e-11	MMY21940	CD14+Mono	CDC40
MMY21940.CD14+Mono.NEB	7.29820102770104e-16	14.8809606647357	0.381	0.023	2.44767066067037e-11	MMY21940	CD14+Mono	NEB
MMY21940.CD14+Mono.NUFIP2	8.1027624222613e-16	-0.874638731562676	0.22	0.527	2.71750446117799e-11	MMY21940	CD14+Mono	NUFIP2
MMY21940.CD14+Mono.MALT1	8.64573092443007e-16	-1.45869406707168	0.074	0.29	2.89960523743536e-11	MMY21940	CD14+Mono	MALT1
MMY21940.CD14+Mono.NPEPL1	8.85916238305094e-16	-0.250153576487806	0.02	0.153	2.97118588002762e-11	MMY21940	CD14+Mono	NPEPL1
MMY21940.CD14+Mono.PDIA6	9.42017256793415e-16	2.21695471579682	0.692	0.382	3.15933747583375e-11	MMY21940	CD14+Mono	PDIA6
MMY21940.CD14+Mono.TYK2	9.46137208914439e-16	-0.330185027887361	0.047	0.229	3.17315497125725e-11	MMY21940	CD14+Mono	TYK2
MMY21940.CD14+Mono.AP002807.1	9.96034031542878e-16	-0.287182905904644	0.008	0.107	3.34049893498851e-11	MMY21940	CD14+Mono	AP002807.1
MMY21940.CD14+Mono.TMEM156	1.03155085695189e-15	5.9156803889524	0.369	0.015	3.45961526404526e-11	MMY21940	CD14+Mono	TMEM156
MMY21940.CD14+Mono.UNC119	1.05239018795917e-15	-0.281918680940398	0.023	0.16	3.52950621237745e-11	MMY21940	CD14+Mono	UNC119
MMY21940.CD14+Mono.TP53INP1	1.06263847653398e-15	22.1380681392129	0.512	0.176	3.56387692259966e-11	MMY21940	CD14+Mono	TP53INP1
MMY21940.CD14+Mono.STK4	1.06676562947814e-15	0.502572170205321	0.296	0.626	3.57771856814379e-11	MMY21940	CD14+Mono	STK4
MMY21940.CD14+Mono.ARNT	1.07919010407611e-15	-0.297631733643256	0.03	0.183	3.61938777105045e-11	MMY21940	CD14+Mono	ARNT
MMY21940.CD14+Mono.COMMD9	1.11710964882604e-15	-0.411924212007741	0.064	0.267	3.74656234023278e-11	MMY21940	CD14+Mono	COMMD9
MMY21940.CD14+Mono.BACH1	1.12217237694177e-15	-1.16615312855229	0.176	0.466	3.76354171778732e-11	MMY21940	CD14+Mono	BACH1
MMY21940.CD14+Mono.FOXN2	1.13031264474638e-15	-0.749114680009281	0.061	0.26	3.79084254795039e-11	MMY21940	CD14+Mono	FOXN2
MMY21940.CD14+Mono.SEC11A	1.2214747928682e-15	-2.08829141165402	0.296	0.588	4.09658216032136e-11	MMY21940	CD14+Mono	SEC11A
MMY21940.CD14+Mono.MANF	1.27715330368751e-15	2.43293101798021	0.463	0.107	4.28331674990718e-11	MMY21940	CD14+Mono	MANF
MMY21940.CD14+Mono.TMX4	1.31123482957375e-15	-2.05187552839401	0.13	0.389	4.39761937142445e-11	MMY21940	CD14+Mono	TMX4
MMY21940.CD14+Mono.C15orf39	1.32644742184658e-15	-0.656672738953609	0.065	0.267	4.44863936338907e-11	MMY21940	CD14+Mono	C15orf39
MMY21940.CD14+Mono.CLTC	1.35637699296945e-15	-0.939655912516982	0.236	0.534	4.54901715902093e-11	MMY21940	CD14+Mono	CLTC
MMY21940.CD14+Mono.EHD1	1.4258234775118e-15	-0.439396469659521	0.039	0.206	4.78192677887907e-11	MMY21940	CD14+Mono	EHD1
MMY21940.CD14+Mono.TPM4	1.53962074894428e-15	4.50556246839987	0.203	0.496	5.16358006780933e-11	MMY21940	CD14+Mono	TPM4
MMY21940.CD14+Mono.ARL8A	1.64877151807651e-15	-0.554370540270098	0.065	0.267	5.52964991732501e-11	MMY21940	CD14+Mono	ARL8A
MMY21940.CD14+Mono.TCOF1	1.65686505844723e-15	-0.965817238099773	0.065	0.267	5.55679403302032e-11	MMY21940	CD14+Mono	TCOF1
MMY21940.CD14+Mono.MBD2	1.7945036250359e-15	-0.828066245379213	0.173	0.45	6.01840625764539e-11	MMY21940	CD14+Mono	MBD2
MMY21940.CD14+Mono.RPS14	1.83023693254017e-15	2.37036557481614	0.94	1	6.13824862435323e-11	MMY21940	CD14+Mono	RPS14
MMY21940.CD14+Mono.MAFG	1.83372047218895e-15	-0.567652458796133	0.067	0.275	6.14993171962732e-11	MMY21940	CD14+Mono	MAFG
MMY21940.CD14+Mono.RNF125	2.03468289213497e-15	-0.323676931155761	0.014	0.13	6.82391948364225e-11	MMY21940	CD14+Mono	RNF125
MMY21940.CD14+Mono.ESYT2	2.0918923085856e-15	-0.41536849882625	0.039	0.206	7.0157884245344e-11	MMY21940	CD14+Mono	ESYT2
MMY21940.CD14+Mono.GPR160	2.15401638296469e-15	1.58602420383968	0.391	0.038	7.22414014518696e-11	MMY21940	CD14+Mono	GPR160
MMY21940.CD14+Mono.MTHFR	2.19056246961713e-15	-0.460198338805041	0.062	0.26	7.34670841060192e-11	MMY21940	CD14+Mono	MTHFR
MMY21940.CD14+Mono.JAZF1	2.29086269981578e-15	-0.300856841330379	0.021	0.153	7.68309532264216e-11	MMY21940	CD14+Mono	JAZF1
MMY21940.CD14+Mono.NEDD9	2.44536749735635e-15	-0.421910146148637	0.045	0.221	8.20127351263372e-11	MMY21940	CD14+Mono	NEDD9
MMY21940.CD14+Mono.KHDRBS1	2.57672092304013e-15	-0.685978136712803	0.174	0.45	8.64180663169199e-11	MMY21940	CD14+Mono	KHDRBS1
MMY21940.CD14+Mono.TMC6	2.61953415730027e-15	-0.268861084504722	0.034	0.191	8.78539365675365e-11	MMY21940	CD14+Mono	TMC6
MMY21940.CD14+Mono.PRKAR1A	2.66739306808594e-15	-0.930366891282132	0.18	0.45	8.94590287174661e-11	MMY21940	CD14+Mono	PRKAR1A
MMY21940.CD14+Mono.G6PD	2.68374208645661e-15	-0.549253327492894	0.067	0.267	9.00073420955818e-11	MMY21940	CD14+Mono	G6PD
MMY21940.CD14+Mono.CLCN7	2.75397259150502e-15	-0.342421942391402	0.079	0.298	9.23627327738952e-11	MMY21940	CD14+Mono	CLCN7
MMY21940.CD14+Mono.EZR	2.83776656678759e-15	-2.24014101028202	0.197	0.489	9.51730151169222e-11	MMY21940	CD14+Mono	EZR
MMY21940.CD14+Mono.SSBP4	2.89579863626404e-15	-0.320498554218786	0.082	0.305	9.71192946630232e-11	MMY21940	CD14+Mono	SSBP4
MMY21940.CD14+Mono.CLIP1	2.96504819276205e-15	-1.08328516823768	0.101	0.336	9.94417862888536e-11	MMY21940	CD14+Mono	CLIP1
MMY21940.CD14+Mono.BCLAF1	3.00394322826389e-15	-0.841017623421405	0.328	0.649	1.00746247989514e-10	MMY21940	CD14+Mono	BCLAF1
MMY21940.CD14+Mono.MAD1L1	3.04363170765136e-15	-0.253853445928224	0.013	0.122	1.02077320211211e-10	MMY21940	CD14+Mono	MAD1L1
MMY21940.CD14+Mono.RPL26	3.33252185566807e-15	-3.54225228305909	0.858	0.931	1.11766117995396e-10	MMY21940	CD14+Mono	RPL26
MMY21940.CD14+Mono.ANTXR2	3.51544824288766e-15	-0.541279230584908	0.031	0.183	1.17901103169966e-10	MMY21940	CD14+Mono	ANTXR2
MMY21940.CD14+Mono.ARF6	3.54818843594956e-15	-5.02238031104948	0.376	0.679	1.18999143764876e-10	MMY21940	CD14+Mono	ARF6
MMY21940.CD14+Mono.ESD	3.54846691958149e-15	-0.610266618129794	0.056	0.244	1.19008483548924e-10	MMY21940	CD14+Mono	ESD
MMY21940.CD14+Mono.DYNLT1	3.59505495873826e-15	-0.529652204170247	0.053	0.237	1.20570953206164e-10	MMY21940	CD14+Mono	DYNLT1
MMY21940.CD14+Mono.R3HDM4	3.75059069639378e-15	-0.453267336135158	0.108	0.351	1.25787310775655e-10	MMY21940	CD14+Mono	R3HDM4
MMY21940.CD14+Mono.COMT	3.95077772208103e-15	-0.634010087826221	0.153	0.42	1.32501183243154e-10	MMY21940	CD14+Mono	COMT
MMY21940.CD14+Mono.ARF3	4.08694293459748e-15	-0.362991852899488	0.076	0.29	1.3706789214053e-10	MMY21940	CD14+Mono	ARF3
MMY21940.CD14+Mono.BRD3	4.24902596600118e-15	-0.352703711540389	0.04	0.206	1.42503832847748e-10	MMY21940	CD14+Mono	BRD3
MMY21940.CD14+Mono.TMEM123	4.25536923732619e-15	-0.962045045907458	0.22	0.519	1.42716573481446e-10	MMY21940	CD14+Mono	TMEM123
MMY21940.CD14+Mono.ARL8B	4.43240548601698e-15	-0.538338229889427	0.081	0.298	1.48654015190038e-10	MMY21940	CD14+Mono	ARL8B
MMY21940.CD14+Mono.B4GALT5	4.47336208669541e-15	-0.610217378108694	0.04	0.206	1.50027617663591e-10	MMY21940	CD14+Mono	B4GALT5
MMY21940.CD14+Mono.PLEKHM1	4.63835174147607e-15	-0.269183573416811	0.037	0.198	1.55561040705624e-10	MMY21940	CD14+Mono	PLEKHM1
MMY21940.CD14+Mono.PTDSS1	4.68157881959142e-15	-0.562742002659434	0.049	0.229	1.57010790451457e-10	MMY21940	CD14+Mono	PTDSS1
MMY21940.CD14+Mono.DDX5	4.92665773530236e-15	29.5733785980699	0.615	0.924	1.6523024712657e-10	MMY21940	CD14+Mono	DDX5
MMY21940.CD14+Mono.HNRNPA2B1	4.94283904212696e-15	20.1072103976316	0.678	0.924	1.65772935794854e-10	MMY21940	CD14+Mono	HNRNPA2B1
MMY21940.CD14+Mono.FAM91A1	5.22256977478689e-15	-0.985164210845952	0.1	0.328	1.75154545106803e-10	MMY21940	CD14+Mono	FAM91A1
MMY21940.CD14+Mono.SNHG8	5.35700029258982e-15	22.2980327875726	0.736	0.427	1.79663075812877e-10	MMY21940	CD14+Mono	SNHG8
MMY21940.CD14+Mono.TPD52	5.36364147508494e-15	1.20624625667102	0.387	0.038	1.79885807791399e-10	MMY21940	CD14+Mono	TPD52
MMY21940.CD14+Mono.IL5RA	5.38326788999039e-15	1.14832809881977	0.335	0	1.80544038494498e-10	MMY21940	CD14+Mono	IL5RA
MMY21940.CD14+Mono.RAPGEF2	5.56356525049674e-15	-0.266637954909677	0.009	0.107	1.8659085137116e-10	MMY21940	CD14+Mono	RAPGEF2
MMY21940.CD14+Mono.ANP32A	5.62733915220187e-15	-1.01751501949189	0.216	0.504	1.88729700486546e-10	MMY21940	CD14+Mono	ANP32A
MMY21940.CD14+Mono.DICER1	5.89202409379793e-15	-0.754062669264578	0.121	0.374	1.97606704057795e-10	MMY21940	CD14+Mono	DICER1
MMY21940.CD14+Mono.PLXNC1	6.04028001672687e-15	-0.607020482085759	0.101	0.336	2.02578911200986e-10	MMY21940	CD14+Mono	PLXNC1
MMY21940.CD14+Mono.IFNGR2	6.13191293504103e-15	-0.876663245217324	0.153	0.42	2.05652096015406e-10	MMY21940	CD14+Mono	IFNGR2
MMY21940.CD14+Mono.MKNK1	6.13527514783902e-15	-0.50716535346786	0.032	0.183	2.05764857908225e-10	MMY21940	CD14+Mono	MKNK1
MMY21940.CD14+Mono.PTMA	6.35628058478369e-15	-16.0175137840637	0.945	1	2.13176938252475e-10	MMY21940	CD14+Mono	PTMA
MMY21940.CD14+Mono.TPCN1	6.68727862162453e-15	-0.255016288905798	0.04	0.206	2.24277950412044e-10	MMY21940	CD14+Mono	TPCN1
MMY21940.CD14+Mono.MNT	6.74007888792125e-15	-0.374485125444261	0.047	0.221	2.26048765743103e-10	MMY21940	CD14+Mono	MNT
MMY21940.CD14+Mono.AP3B1	7.32014711049e-15	-0.420766203147854	0.078	0.29	2.45503093791613e-10	MMY21940	CD14+Mono	AP3B1
MMY21940.CD14+Mono.ATP5F1E	7.58596606245759e-15	-2.13952525062601	0.894	0.947	2.54418129802703e-10	MMY21940	CD14+Mono	ATP5F1E
MMY21940.CD14+Mono.BLOC1S2	7.63184848593278e-15	-0.351867527923311	0.047	0.221	2.55956934521214e-10	MMY21940	CD14+Mono	BLOC1S2
MMY21940.CD14+Mono.ARID1A	7.69361761379179e-15	-0.734712893322611	0.177	0.458	2.58028547531349e-10	MMY21940	CD14+Mono	ARID1A
MMY21940.CD14+Mono.CORO1C	7.72801529968716e-15	-0.723200777874042	0.117	0.359	2.59182177120908e-10	MMY21940	CD14+Mono	CORO1C
MMY21940.CD14+Mono.KLHL8	7.76429072036452e-15	-0.279160121256247	0.024	0.16	2.60398782179585e-10	MMY21940	CD14+Mono	KLHL8
MMY21940.CD14+Mono.SLC27A3	8.25398227145908e-15	-0.275423008181674	0.024	0.16	2.76822057420194e-10	MMY21940	CD14+Mono	SLC27A3
MMY21940.CD14+Mono.EPG5	8.25398227145908e-15	-0.275423008181674	0.024	0.16	2.76822057420194e-10	MMY21940	CD14+Mono	EPG5
MMY21940.CD14+Mono.RLIM	8.48871304062951e-15	-0.402170184025362	0.067	0.267	2.84694457956632e-10	MMY21940	CD14+Mono	RLIM
MMY21940.CD14+Mono.STK24	8.52173612011048e-15	-0.415772300117274	0.086	0.305	2.85801985996265e-10	MMY21940	CD14+Mono	STK24
MMY21940.CD14+Mono.PTRHD1	8.697328481322e-15	-0.509543720765896	0.068	0.267	2.91691002606577e-10	MMY21940	CD14+Mono	PTRHD1
MMY21940.CD14+Mono.SPAG4	9.54370097498094e-15	1.29497626743002	0.351	0.015	3.20076643298911e-10	MMY21940	CD14+Mono	SPAG4
MMY21940.CD14+Mono.PLEKHA2	1.00158245210178e-14	-0.701033208647522	0.132	0.389	3.35910722785894e-10	MMY21940	CD14+Mono	PLEKHA2
MMY21940.CD14+Mono.TOR1AIP1	1.26581467474642e-14	-0.399233744392451	0.061	0.252	4.24528925616453e-10	MMY21940	CD14+Mono	TOR1AIP1
MMY21940.CD14+Mono.NUDT16	1.5121100232654e-14	-0.489984709195449	0.041	0.206	5.07131459602749e-10	MMY21940	CD14+Mono	NUDT16
MMY21940.CD14+Mono.DNAJB9	1.54177617990795e-14	2.41716420054902	0.412	0.069	5.17080895217528e-10	MMY21940	CD14+Mono	DNAJB9
MMY21940.CD14+Mono.LIMS1	1.80830061555475e-14	21.7430706635621	0.148	0.412	6.06467860444754e-10	MMY21940	CD14+Mono	LIMS1
MMY21940.CD14+Mono.RNF138	1.81873301427275e-14	-0.430090279389007	0.045	0.214	6.09966678326796e-10	MMY21940	CD14+Mono	RNF138
MMY21940.CD14+Mono.POR	1.83148417905122e-14	-0.270142801759706	0.039	0.198	6.14243163970197e-10	MMY21940	CD14+Mono	POR
MMY21940.CD14+Mono.ACAP1	1.90963898382123e-14	-0.356446566054885	0.028	0.168	6.40454722393964e-10	MMY21940	CD14+Mono	ACAP1
MMY21940.CD14+Mono.TMEM219	1.97462871492024e-14	-2.01543439874961	0.189	0.466	6.62250978409951e-10	MMY21940	CD14+Mono	TMEM219
MMY21940.CD14+Mono.ZMYM2	2.38085146855951e-14	-0.577621468650978	0.096	0.321	7.98489965525487e-10	MMY21940	CD14+Mono	ZMYM2
MMY21940.CD14+Mono.CNOT8	2.45604634334133e-14	-0.353723615167671	0.034	0.183	8.23708822629815e-10	MMY21940	CD14+Mono	CNOT8
MMY21940.CD14+Mono.CD38	2.50871584873796e-14	1.41688225112034	0.366	0.031	8.41373121349736e-10	MMY21940	CD14+Mono	CD38
MMY21940.CD14+Mono.ERLEC1	2.51899360917166e-14	4.26119408673897	0.479	0.145	8.44820076643993e-10	MMY21940	CD14+Mono	ERLEC1
MMY21940.CD14+Mono.SLAMF7	2.5538188825859e-14	2.44695480256795	0.386	0.046	8.56499776841658e-10	MMY21940	CD14+Mono	SLAMF7
MMY21940.CD14+Mono.SLC15A4	2.68232697211424e-14	-0.275336948691041	0.045	0.214	8.99598819907674e-10	MMY21940	CD14+Mono	SLC15A4
MMY21940.CD14+Mono.SOS2	2.70959539633751e-14	-0.673736052993487	0.07	0.267	9.08744104023673e-10	MMY21940	CD14+Mono	SOS2
MMY21940.CD14+Mono.ULK1	2.86429884072117e-14	-0.455600497747291	0.052	0.229	9.60628545201064e-10	MMY21940	CD14+Mono	ULK1
MMY21940.CD14+Mono.MGRN1	3.088648450558e-14	-0.329450324543605	0.052	0.229	1.03587091734814e-09	MMY21940	CD14+Mono	MGRN1
MMY21940.CD14+Mono.ZBTB18	3.10612040139918e-14	-0.575214039070725	0.034	0.183	1.04173066022126e-09	MMY21940	CD14+Mono	ZBTB18
MMY21940.CD14+Mono.FBXO7	3.11712151589173e-14	-0.567031583605855	0.08	0.29	1.04542021399977e-09	MMY21940	CD14+Mono	FBXO7
MMY21940.CD14+Mono.TNFRSF10B	3.19378288403842e-14	-0.281514892390362	0.031	0.176	1.0711309036488e-09	MMY21940	CD14+Mono	TNFRSF10B
MMY21940.CD14+Mono.HEBP2	3.36181564833443e-14	-0.801475412075584	0.188	0.458	1.1274857321384e-09	MMY21940	CD14+Mono	HEBP2
MMY21940.CD14+Mono.RGS13	3.5266793450492e-14	1.71254934654263	0.341	0.015	1.1827777187426e-09	MMY21940	CD14+Mono	RGS13
MMY21940.CD14+Mono.PTPN18	3.81834214653636e-14	-0.372371078261432	0.118	0.359	1.28059558910536e-09	MMY21940	CD14+Mono	PTPN18
MMY21940.CD14+Mono.SIN3B	3.89024037258733e-14	-0.329572808696251	0.031	0.176	1.30470881615834e-09	MMY21940	CD14+Mono	SIN3B
MMY21940.CD14+Mono.DBNL	3.93805458305393e-14	-1.28071815815655	0.141	0.389	1.32074474606463e-09	MMY21940	CD14+Mono	DBNL
MMY21940.CD14+Mono.LRRC8C	4.01937168770826e-14	-0.673444623138948	0.026	0.16	1.3480168766236e-09	MMY21940	CD14+Mono	LRRC8C
MMY21940.CD14+Mono.RAB7A	4.26841811683218e-14	-1.10613346085669	0.246	0.527	1.43154206802318e-09	MMY21940	CD14+Mono	RAB7A
MMY21940.CD14+Mono.CPT1A	4.33481838764584e-14	-0.405037566534013	0.131	0.382	1.45381139084866e-09	MMY21940	CD14+Mono	CPT1A
MMY21940.CD14+Mono.LNPEP	4.52749095315844e-14	-0.570423035734662	0.143	0.397	1.51842991587028e-09	MMY21940	CD14+Mono	LNPEP
MMY21940.CD14+Mono.HGSNAT	4.61802761004319e-14	-0.41434133514856	0.04	0.198	1.54879409985629e-09	MMY21940	CD14+Mono	HGSNAT
MMY21940.CD14+Mono.EWSR1	5.32822470139068e-14	0.713150439179186	0.222	0.519	1.78698000035241e-09	MMY21940	CD14+Mono	EWSR1
MMY21940.CD14+Mono.SELENOK	5.34255082748843e-14	10.7966820068544	0.617	0.313	1.79178469652307e-09	MMY21940	CD14+Mono	SELENOK
